                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.493,                 3.2019,                  2.328,                0.00485,                0.85754,                0.06006,                 0.0158,                 2.5782,                 2.9942,                 2.5169,             0.00066445,             0.00066445,             0.00066445
                      2,                 2.4205,                 3.0524,                 2.2971,                0.00549,                0.90596,                0.04947,                0.01215,                 2.4766,                 3.0707,                 2.2785,              0.0013048,              0.0013048,              0.0013048
                      3,                 2.3454,                 3.0182,                 2.2877,                 0.1426,                0.25895,                0.09737,                0.02662,                 2.2943,                  2.968,                 2.6281,              0.0019187,              0.0019187,              0.0019187
                      4,                  2.313,                 2.9926,                 2.2688,                0.23492,                0.24772,                  0.146,                0.04117,                 2.2479,                 2.6375,                 2.3847,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.2961,                 2.9587,                 2.2402,                0.05626,                0.54667,                0.12787,                0.03254,                 2.5163,                 2.6883,                 2.4524,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.2479,                 2.9395,                 2.2265,                0.36663,                0.17061,                0.18642,                0.05851,                  2.254,                 2.5669,                 2.3093,               0.001802,               0.001802,               0.001802
                      7,                 2.2464,                 2.8979,                 2.2078,                0.57884,                0.16879,                0.26835,                0.09236,                 2.2212,                 2.6187,                 2.2816,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.2292,                 2.8854,                 2.1984,                0.42706,                0.10947,                0.18058,                0.06214,                 2.2163,                 2.6721,                 2.3169,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2139,                 2.8788,                 2.2031,                0.38287,                0.26731,                0.26119,                0.08673,                 2.1836,                 2.6017,                 2.3737,              0.0016832,              0.0016832,              0.0016832
                     10,                  2.214,                 2.8826,                 2.1809,                 0.3207,                0.32772,                0.22988,                0.07143,                 2.1557,                 2.5269,                 2.2354,              0.0016436,              0.0016436,              0.0016436
